evaluation_id,model_id,dataset,problem_id,verdict,tests_passed,tests_total,weighted_score,compile_success,latency_ms,evaluated_at
eval-b4c99962,claude-sonnet-4-6,defects4j,D4J_Chart_3,pass,3,3,1.0,True,3111.9,2026-05-14T10:06:44.430275
eval-295633b4,claude-sonnet-4-6,defects4j,D4J_Chart_3,pass,3,3,1.0,True,3111.9,2026-05-14T10:06:44.448754
eval-4fd4c6b5,claude-sonnet-4-6,defects4j,D4J_Chart_3,pass,3,3,1.0,True,3111.9,2026-05-14T10:06:44.467484
eval-f8233beb,claude-sonnet-4-6,defects4j,D4J_Chart_9,pass,3,3,1.0,True,2044.7,2026-05-14T10:06:44.723520
eval-d15f737b,claude-sonnet-4-6,defects4j,D4J_Chart_9,pass,3,3,1.0,True,2044.7,2026-05-14T10:06:44.732316
eval-52f5ade7,claude-sonnet-4-6,defects4j,D4J_Chart_9,pass,3,3,1.0,True,2044.7,2026-05-14T10:06:44.819977
eval-d398931b,claude-sonnet-4-6,defects4j,D4J_Closure_4,pass,3,3,1.0,True,3993.1,2026-05-14T10:06:44.486049
eval-d856eaa7,claude-sonnet-4-6,defects4j,D4J_Closure_4,pass,3,3,1.0,True,3993.1,2026-05-14T10:06:44.504004
eval-0eb12c2d,claude-sonnet-4-6,defects4j,D4J_Closure_4,pass,3,3,1.0,True,3993.1,2026-05-14T10:06:44.521309
eval-e803478e,claude-sonnet-4-6,defects4j,D4J_Lang_1,pass,3,3,1.0,True,5081.2,2026-05-14T10:06:44.380330
eval-d58c7ff2,claude-sonnet-4-6,defects4j,D4J_Lang_1,pass,3,3,1.0,True,5081.2,2026-05-14T10:06:44.386075
eval-9747e9d3,claude-sonnet-4-6,defects4j,D4J_Lang_1,pass,3,3,1.0,True,5081.2,2026-05-14T10:06:44.391671
eval-70c05c8c,claude-sonnet-4-6,defects4j,D4J_Lang_10,pass,3,3,1.0,True,1987.0,2026-05-14T10:06:44.769047
eval-cda03072,claude-sonnet-4-6,defects4j,D4J_Lang_10,pass,3,3,1.0,True,1987.0,2026-05-14T10:06:44.785337
eval-60658fa2,claude-sonnet-4-6,defects4j,D4J_Lang_10,pass,3,3,1.0,True,1987.0,2026-05-14T10:06:44.815663
eval-086df364,claude-sonnet-4-6,defects4j,D4J_Lang_7,pass,3,3,1.0,True,11824.7,2026-05-14T10:06:44.642763
eval-1f03949b,claude-sonnet-4-6,defects4j,D4J_Lang_7,pass,3,3,1.0,True,11824.7,2026-05-14T10:06:44.658393
eval-0e6794bb,claude-sonnet-4-6,defects4j,D4J_Lang_7,pass,3,3,1.0,True,11824.7,2026-05-14T10:06:44.674427
eval-0b869e04,claude-sonnet-4-6,defects4j,D4J_Math_2,pass,3,3,1.0,True,3072.9,2026-05-14T10:06:44.404601
eval-0fe9cae2,claude-sonnet-4-6,defects4j,D4J_Math_2,pass,3,3,1.0,True,3072.9,2026-05-14T10:06:44.414044
eval-a80bd719,claude-sonnet-4-6,defects4j,D4J_Math_2,pass,3,3,1.0,True,3072.9,2026-05-14T10:06:44.414633
eval-1a949547,claude-sonnet-4-6,defects4j,D4J_Math_8,pass,3,3,1.0,True,7183.2,2026-05-14T10:06:44.695058
eval-a287f006,claude-sonnet-4-6,defects4j,D4J_Math_8,pass,3,3,1.0,True,7183.2,2026-05-14T10:06:44.705084
eval-4ed53b7c,claude-sonnet-4-6,defects4j,D4J_Math_8,pass,3,3,1.0,True,7183.2,2026-05-14T10:06:44.751694
eval-174b81d4,claude-sonnet-4-6,defects4j,D4J_Mockito_6,pass,3,3,1.0,True,7278.6,2026-05-14T10:06:44.574475
eval-d3046f9f,claude-sonnet-4-6,defects4j,D4J_Mockito_6,pass,3,3,1.0,True,7278.6,2026-05-14T10:06:44.607927
eval-0e240fb8,claude-sonnet-4-6,defects4j,D4J_Mockito_6,pass,3,3,1.0,True,7278.6,2026-05-14T10:06:44.625570
eval-5902bebe,claude-sonnet-4-6,defects4j,D4J_Time_5,pass,3,3,1.0,True,2456.1,2026-05-14T10:06:44.541443
eval-2f3e5328,claude-sonnet-4-6,defects4j,D4J_Time_5,pass,3,3,1.0,True,2456.1,2026-05-14T10:06:44.560507
eval-33efa68f,claude-sonnet-4-6,defects4j,D4J_Time_5,pass,3,3,1.0,True,2456.1,2026-05-14T10:06:44.591367
eval-5ce2d23d,claude-sonnet-4-6,godclass,GC_001,pass,3,3,1.0,True,17508.6,2026-05-13T17:02:21.020525
eval-1431a636,claude-sonnet-4-6,godclass,GC_001,pass,3,3,1.0,True,17508.6,2026-05-13T17:02:21.330001
eval-25e71cc6,claude-sonnet-4-6,godclass,GC_001,pass,3,3,1.0,True,17508.6,2026-05-13T17:02:21.334546
eval-784aa88f,claude-sonnet-4-6,godclass,GC_002,pass,3,3,1.0,True,17436.4,2026-05-13T17:02:23.644573
eval-2727dbb0,claude-sonnet-4-6,godclass,GC_002,pass,3,3,1.0,True,17436.4,2026-05-13T17:02:24.296046
eval-3588194d,claude-sonnet-4-6,godclass,GC_002,pass,3,3,1.0,True,17436.4,2026-05-13T17:02:24.303392
eval-d23fec1f,claude-sonnet-4-6,godclass,GC_003,pass,3,3,1.0,True,13332.0,2026-05-13T17:02:26.298161
eval-e3ec022e,claude-sonnet-4-6,godclass,GC_003,pass,3,3,1.0,True,13332.0,2026-05-13T17:02:26.975567
eval-054cb4c4,claude-sonnet-4-6,godclass,GC_003,pass,3,3,1.0,True,13332.0,2026-05-13T17:02:27.075701
eval-8d67fed5,claude-sonnet-4-6,godclass,GC_004,pass,3,3,1.0,True,22954.9,2026-05-13T17:02:29.114542
eval-a160e448,claude-sonnet-4-6,godclass,GC_004,pass,3,3,1.0,True,22954.9,2026-05-13T17:02:29.868572
eval-3c6087dd,claude-sonnet-4-6,godclass,GC_004,pass,3,3,1.0,True,22954.9,2026-05-13T17:02:30.234869
eval-3997dabb,claude-sonnet-4-6,godclass,GC_005,pass,3,3,1.0,True,23746.0,2026-05-13T17:02:32.240175
eval-64d504ab,claude-sonnet-4-6,godclass,GC_005,pass,3,3,1.0,True,23746.0,2026-05-13T17:02:32.699630
eval-b4786c9c,claude-sonnet-4-6,godclass,GC_005,pass,3,3,1.0,True,23746.0,2026-05-13T17:02:33.047112
eval-b12523ca,claude-sonnet-4-6,godclass,GC_006,pass,3,3,1.0,True,51983.5,2026-05-13T17:02:35.204698
eval-58196ae3,claude-sonnet-4-6,godclass,GC_006,pass,3,3,1.0,True,51983.5,2026-05-13T17:02:35.596989
eval-373b4d7b,claude-sonnet-4-6,godclass,GC_006,pass,3,3,1.0,True,51983.5,2026-05-13T17:02:35.909921
eval-d0590105,claude-sonnet-4-6,godclass,GC_007,pass,3,3,1.0,True,47728.4,2026-05-13T17:02:37.910692
eval-215e2063,claude-sonnet-4-6,godclass,GC_007,pass,3,3,1.0,True,47728.4,2026-05-13T17:02:38.320531
eval-59f4a967,claude-sonnet-4-6,godclass,GC_007,pass,3,3,1.0,True,47728.4,2026-05-13T17:02:38.579573
eval-6011de21,claude-sonnet-4-6,humaneval-java,HumanEval_0,pass,4,4,1.0,True,11011.4,2026-05-13T14:05:35.116158
eval-91dc8e9b,claude-sonnet-4-6,humaneval-java,HumanEval_0,pass,4,4,1.0,True,11011.4,2026-05-13T14:05:35.226890
eval-0d738e37,claude-sonnet-4-6,humaneval-java,HumanEval_0,pass,4,4,1.0,True,11011.4,2026-05-13T14:05:35.234804
eval-36eaeb9f,claude-sonnet-4-6,humaneval-java,HumanEval_1,pass,3,3,1.0,True,6467.1,2026-05-13T14:05:38.251341
eval-f561703a,claude-sonnet-4-6,humaneval-java,HumanEval_1,pass,3,3,1.0,True,6467.1,2026-05-13T14:05:38.362073
eval-e415081c,claude-sonnet-4-6,humaneval-java,HumanEval_1,pass,3,3,1.0,True,6467.1,2026-05-13T14:05:38.448549
eval-9a3233aa,claude-sonnet-4-6,humaneval-java,HumanEval_10,pass,3,3,1.0,True,1741.6,2026-05-13T14:06:06.345796
eval-a06804fb,claude-sonnet-4-6,humaneval-java,HumanEval_10,pass,3,3,1.0,True,1741.6,2026-05-13T14:06:07.419710
eval-9921d393,claude-sonnet-4-6,humaneval-java,HumanEval_10,pass,3,3,1.0,True,1741.6,2026-05-13T14:06:07.461802
eval-469c0ec0,claude-sonnet-4-6,humaneval-java,HumanEval_11,pass,3,3,1.0,True,1770.2,2026-05-13T14:06:10.586677
eval-191b9d28,claude-sonnet-4-6,humaneval-java,HumanEval_11,pass,3,3,1.0,True,1770.2,2026-05-13T14:06:11.920488
eval-e4794939,claude-sonnet-4-6,humaneval-java,HumanEval_11,pass,3,3,1.0,True,1770.2,2026-05-13T14:06:11.973311
eval-cee873bc,claude-sonnet-4-6,humaneval-java,HumanEval_12,pass,3,3,1.0,True,5054.7,2026-05-13T14:06:14.833936
eval-9981c7b4,claude-sonnet-4-6,humaneval-java,HumanEval_12,pass,3,3,1.0,True,5054.7,2026-05-13T14:06:15.957816
eval-aa0a2b9d,claude-sonnet-4-6,humaneval-java,HumanEval_12,pass,3,3,1.0,True,5054.7,2026-05-13T14:06:16.053748
eval-958b506f,claude-sonnet-4-6,humaneval-java,HumanEval_13,pass,4,4,1.0,True,2585.0,2026-05-13T14:06:18.680770
eval-79e9f781,claude-sonnet-4-6,humaneval-java,HumanEval_13,pass,4,4,1.0,True,2585.0,2026-05-13T14:06:20.033680
eval-0fc6a0bd,claude-sonnet-4-6,humaneval-java,HumanEval_13,pass,4,4,1.0,True,2585.0,2026-05-13T14:06:20.068915
eval-d2d0628f,claude-sonnet-4-6,humaneval-java,HumanEval_14,pass,3,3,1.0,True,5302.6,2026-05-13T14:06:22.172393
eval-7d9fb965,claude-sonnet-4-6,humaneval-java,HumanEval_14,pass,3,3,1.0,True,5302.6,2026-05-13T14:06:23.880941
eval-3037db33,claude-sonnet-4-6,humaneval-java,HumanEval_14,pass,3,3,1.0,True,5302.6,2026-05-13T14:06:23.887783
eval-e021a274,claude-sonnet-4-6,humaneval-java,HumanEval_15,pass,3,3,1.0,True,2211.8,2026-05-13T14:06:26.010801
eval-eedb7452,claude-sonnet-4-6,humaneval-java,HumanEval_15,pass,3,3,1.0,True,2211.8,2026-05-13T14:06:27.896617
eval-632f5a36,claude-sonnet-4-6,humaneval-java,HumanEval_15,pass,3,3,1.0,True,2211.8,2026-05-13T14:06:27.940495
eval-a831bf1d,claude-sonnet-4-6,humaneval-java,HumanEval_16,pass,3,3,1.0,True,3030.9,2026-05-13T14:06:29.530476
eval-42431d0e,claude-sonnet-4-6,humaneval-java,HumanEval_16,pass,3,3,1.0,True,3030.9,2026-05-13T14:06:31.520570
eval-24c7c3bc,claude-sonnet-4-6,humaneval-java,HumanEval_16,pass,3,3,1.0,True,3030.9,2026-05-13T14:06:31.623035
eval-88f42034,claude-sonnet-4-6,humaneval-java,HumanEval_17,pass,3,3,1.0,True,2438.2,2026-05-13T14:06:32.914037
eval-57838ab6,claude-sonnet-4-6,humaneval-java,HumanEval_17,pass,3,3,1.0,True,2438.2,2026-05-13T14:06:35.485647
eval-e3b19723,claude-sonnet-4-6,humaneval-java,HumanEval_17,pass,3,3,1.0,True,2438.2,2026-05-13T14:06:35.548344
eval-ece7f38f,claude-sonnet-4-6,humaneval-java,HumanEval_18,pass,3,3,1.0,True,2094.5,2026-05-13T14:06:36.875604
eval-95eefdc5,claude-sonnet-4-6,humaneval-java,HumanEval_18,pass,3,3,1.0,True,2094.5,2026-05-13T14:06:39.177186
eval-cc7a2078,claude-sonnet-4-6,humaneval-java,HumanEval_18,pass,3,3,1.0,True,2094.5,2026-05-13T14:06:39.322787
eval-54e45d86,claude-sonnet-4-6,humaneval-java,HumanEval_19,pass,4,4,1.0,True,2225.6,2026-05-13T14:06:40.523340
eval-9e9c346d,claude-sonnet-4-6,humaneval-java,HumanEval_19,pass,4,4,1.0,True,2225.6,2026-05-13T14:06:42.618678
eval-4fcdd637,claude-sonnet-4-6,humaneval-java,HumanEval_19,pass,4,4,1.0,True,2225.6,2026-05-13T14:06:42.970594
eval-a4c203e6,claude-sonnet-4-6,humaneval-java,HumanEval_20,pass,3,3,1.0,True,3095.0,2026-05-13T14:06:44.149087
eval-48b62cd2,claude-sonnet-4-6,humaneval-java,HumanEval_20,pass,3,3,1.0,True,3095.0,2026-05-13T14:06:46.361005
eval-e12fcb82,claude-sonnet-4-6,humaneval-java,HumanEval_20,pass,3,3,1.0,True,3095.0,2026-05-13T14:06:46.793413
eval-8e64c305,claude-sonnet-4-6,humaneval-java,HumanEval_21,pass,3,3,1.0,True,2532.6,2026-05-13T14:06:48.021451
eval-e28ec81c,claude-sonnet-4-6,humaneval-java,HumanEval_21,pass,3,3,1.0,True,2532.6,2026-05-13T14:06:50.062238
eval-3a08e6a7,claude-sonnet-4-6,humaneval-java,HumanEval_21,pass,3,3,1.0,True,2532.6,2026-05-13T14:06:50.560231
eval-7c03b266,claude-sonnet-4-6,humaneval-java,HumanEval_22,pass,3,3,1.0,True,3257.6,2026-05-13T14:06:51.795961
eval-6fc27b19,claude-sonnet-4-6,humaneval-java,HumanEval_22,pass,3,3,1.0,True,3257.6,2026-05-13T14:06:53.956364
eval-2fe06990,claude-sonnet-4-6,humaneval-java,HumanEval_22,pass,3,3,1.0,True,3257.6,2026-05-13T14:06:54.558215
eval-2f816752,claude-sonnet-4-6,humaneval-java,HumanEval_23,pass,3,3,1.0,True,2709.5,2026-05-13T14:06:55.256723
eval-848a53f2,claude-sonnet-4-6,humaneval-java,HumanEval_23,pass,3,3,1.0,True,2709.5,2026-05-13T14:06:57.719827
eval-fb267108,claude-sonnet-4-6,humaneval-java,HumanEval_23,pass,3,3,1.0,True,2709.5,2026-05-13T14:06:58.186679
eval-68bfc2e4,claude-sonnet-4-6,humaneval-java,HumanEval_24,pass,3,3,1.0,True,3120.7,2026-05-13T14:06:59.231216
eval-3c41daaa,claude-sonnet-4-6,humaneval-java,HumanEval_24,pass,3,3,1.0,True,3120.7,2026-05-13T14:07:01.431403
eval-7d794de5,claude-sonnet-4-6,humaneval-java,HumanEval_24,pass,3,3,1.0,True,3120.7,2026-05-13T14:07:01.663319
